baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCA12	71.5601290656587	5.92513521139127	1.36691905394142	4.3346642906956	1.45982729819901e-05	0.000823991408316776
ABCC9	455.086124801104	-8.04208988616578	1.02972457042144	-7.80994269455412	5.72139933030406e-15	5.1290662231667e-12
ABCG1	174.484143875532	5.84307913343002	1.57776040817962	3.70340078451557	0.000212728401224541	0.00740178272753881
ACCN1	41.3016296583047	8.87239748655909	1.49082173355407	5.951347023502	2.65944524293642e-09	5.62915909754876e-07
ADAM23	370.049075322097	-4.10795462324515	0.860828688665222	-4.77209307419207	1.82321209843163e-06	0.00014471746031301
ADAMTS13	163.524140453765	2.75508813859165	0.83846570973965	3.28586858900542	0.00101668429122793	0.0243238125562225
ADAMTS15	1031.32630306641	4.63100932352492	0.845764381751235	5.47553127495861	4.36200910003656e-08	5.97444852980975e-06
ADAMTSL1	4883.36823399007	-3.29035586074156	0.81521960006814	-4.03615892020571	5.43334195131724e-05	0.00242117343093786
ADRA1B	107.220162655047	-4.52187929294451	0.905803603688898	-4.99211890362225	5.97204691585971e-07	5.79706974507656e-05
AFP	160.750327268248	-4.30087449414182	0.976254655764166	-4.40548423379891	1.05547829200521e-05	0.0006318362816325
AGR2	238.007908446119	10.4365576257288	1.86358511801946	5.60025808578053	2.14032906386838e-08	3.36274380756229e-06
AGTR1	517.564337988041	-6.59084575992575	0.970945144452007	-6.78807221765918	1.1364176647187e-11	4.2876719260503e-09
AIF1L	795.231914648487	5.228946517357	1.28357777013293	4.07372785586298	4.6266542239782e-05	0.00213667304161903
AIM2	70.4825982166429	-5.1714740287724	1.32990748236796	-3.88859683649899	0.000100825441561979	0.00405430007758458
AKR1C1	3186.09167541736	-7.10170943379836	1.34622254821425	-5.27528635084792	1.32548952924067e-07	1.55388157120214e-05
AKR1C2	670.907893635699	-5.55725514931447	1.34104739605371	-4.14396625031135	3.41350002936416e-05	0.00166736347588173
ALDH1A3	8358.40623696406	-4.2079894724799	0.853251452743268	-4.93171087954306	8.15125046921735e-07	7.3073563029925e-05
ALDH1L2	1978.83824405909	-3.81813469278157	1.09048235378899	-3.50132643551275	0.000462948409792745	0.0130896730338431
ALDH3A1	45.8141040953415	4.6617317245852	1.52560898282557	3.05565303892693	0.00224570962803424	0.0435982353264227
ALK	45.2544476594136	6.09552374372592	1.15371068108839	5.28340756798362	1.2680285543489e-07	1.50974649752165e-05
ALOX5	90.541799808004	5.55305613091038	1.65602215166507	3.35324990992843	0.00079868555944982	0.020118955249612
ALPK2	1150.60123105822	5.05055793805675	1.36230096611572	3.70737308691575	0.00020942030786087	0.00730335352814568
ANKRD43	73.3315268191904	5.56166389867357	1.16203434519239	4.78614416319403	1.70015956355436e-06	0.000136370693413518
ANKRD56	50.5384847201717	5.34500988525694	1.14306898578878	4.67601689111403	2.92500524993517e-06	0.000214312884658712
ANO4	114.550177278368	-4.19349527395877	1.02243567182279	-4.10147590653078	4.10523257877589e-05	0.00194902630842818
ANXA10	33.3608525254744	-4.75097627861185	1.3266001836954	-3.58131736826498	0.000341866073026755	0.0105253312180359
APOBEC3H	16.414546546182	6.5648573498964	2.06271580145677	3.18262813774928	0.00145944921393933	0.0317480916150861
ARNT2	1544.30721748138	2.20041054430811	0.679974588200734	3.23601879024709	0.00121209404963329	0.0279944084266304
AS3MT	242.080432275142	3.73689096716585	0.755445282227125	4.94660706087029	7.55182010059284e-07	6.89160109778652e-05
ASNS	4704.45198792431	-2.92581148545433	0.781063616568641	-3.7459323714347	0.000179725007754923	0.00655265339278713
ASS1	2535.39455978456	4.05631978575006	0.658036567345654	6.16427716488793	7.08058286842395e-10	1.76898496581608e-07
ATP10A	1170.55981592176	7.84139265456804	0.993572886492432	7.89211618107874	2.97104939321736e-15	3.01858618350884e-12
ATP6AP1L	145.046890650527	2.78817606170696	0.735105434035824	3.79289273703162	0.000148902486511131	0.00560314541834476
ATRNL1	224.303819934356	4.17357124561085	1.23570263151287	3.37748835292287	0.000731510509215835	0.0187278524221268
B3GAT1	55.5578242300887	9.30041192925362	2.19571866761448	4.23570290057149	2.27837862301331e-05	0.00120564202134454
B3GNT8	25.9070738228588	3.61332967044482	1.10982223851278	3.255773352755	0.00113083982653549	0.0267193782269782
BCAT1	4662.19418786433	-2.70568761694648	0.453010885314027	-5.9726768266747	2.3339195277609e-09	5.00970895817974e-07
BCL2A1	201.786484819497	-4.17204697905307	1.36631019380968	-3.05351376133713	0.00226178347980166	0.0437326715603082
BEAN	86.8991821863773	6.50471395677837	1.52408012432411	4.26796062291217	1.9726813789194e-05	0.0010623202902732
BEND5	59.1294007350733	8.4241640476862	1.43964500271498	5.85155648218787	4.86993841259339e-09	9.39466600100295e-07
BEND7	492.86633368433	3.84627476600495	1.00174791361716	3.83956354060838	0.000123253228393292	0.00482873830517678
BGN	1386.02126823241	5.29584222136315	1.13413075189083	4.66951646671592	3.01909500206288e-06	0.000219100037292563
BIRC7	63.249607880365	7.66891815432623	1.95577957990603	3.92115667487166	8.81249394942823e-05	0.00361027977928189
BMP6	383.499618926288	-5.85602530718592	1.84170881758042	-3.17966947396135	0.00147443123870498	0.0317552463072482
BMPER	310.132494419149	-2.81667106658678	0.751708151971674	-3.74702743238697	0.000178942523301137	0.00653976991632931
BTBD11	1410.00720468149	-3.18208704355631	0.419781873188106	-7.58033456611501	3.44664996060077e-14	2.50128311426456e-11
BTG2	982.276330797361	3.4762646312926	1.00086162865452	3.47327196064638	0.000514154076722666	0.0140424876868341
C10orf140	71.7022662004025	2.12549928508343	0.681757260086856	3.11767752178047	0.00182282132266343	0.0370891815185457
C13orf33	398.140322393674	7.72140939798193	1.62968807933035	4.73796764909435	2.15872263252927e-06	0.000165321270953498
C17orf103	959.561669420723	2.13997318343803	0.510200151419504	4.19437974975917	2.73619257147338e-05	0.00139931459024343
C17orf108	158.649138623398	2.03360112796293	0.643964276893633	3.15794089972296	0.0015888776627369	0.0335380825209285
C18orf1	95.3067450590236	3.66331670040439	0.983698372203311	3.72402435941742	0.000196071994886166	0.00694915628387248
