baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KCNJ16	4315.17720273934	12.7195213745742	1.02972832608644	12.3523079363231	4.73337467390743e-35	7.21366300303492e-31
PDE10A	1337.11420200909	9.44931555279491	0.783342356016032	12.0628170814774	1.66005866145602e-33	1.26496470002949e-29
VCAM1	1944.88421074834	10.2091700769128	0.857608293587475	11.9042343144872	1.12491096544493e-32	5.71454770446024e-29
RASAL1	298.675094008095	7.16251254652868	0.633377712337894	11.3084379304898	1.19192597209229e-29	4.54123795367161e-26
OLFML2B	1556.2501156307	3.80071580619222	0.346292491153008	10.9754496655051	5.01556854886398e-28	1.52874529369374e-24
WFDC2	1454.07557290313	9.43962076954303	0.910597897552774	10.3663985991094	3.52562562909388e-25	8.95508909789846e-22
DAAM2	338.521491359559	7.20312156982236	0.763100975602859	9.43927710763547	3.75360021422485e-21	8.17212389496954e-18
NTSR1	1073.80886338515	-10.1167473198024	1.10800484757641	-9.13059842827515	6.81216830740583e-20	1.29771806256081e-16
DBC1	468.480739165541	7.58222628528856	0.832148664168369	9.11162465527247	8.11573955902314e-20	1.37426523199459e-16
HOXB8	497.299103275066	-9.94931905537387	1.09337903923022	-9.09960653935583	9.0659665382919e-20	1.38165330043569e-16
TMEM92	138.396450716063	5.8314097481443	0.642579922648226	9.07499525368246	1.13682456137661e-19	1.57501875594359e-16
INHBB	1119.52785848238	8.78935059825531	0.994348104867483	8.83930944830097	9.63120211703491e-19	1.22316266886343e-15
SYTL1	627.91407690156	7.71387217942594	0.907831029355104	8.49703516402787	1.94494530627702e-17	2.28007434366629e-14
TRHDE	1082.7603739753	-6.222372744647	0.763851074624621	-8.14605484152112	3.75989664221332e-16	4.09291605909508e-13
ATP10A	1170.55981592176	7.84139265456804	0.993572886492432	7.89211618107874	2.97104939321736e-15	3.01858618350884e-12
SPINT2	4192.35600339687	5.91171629430679	0.755641351126225	7.82344201451633	5.13982373253613e-15	4.89568210524066e-12
ABCC9	455.086124801104	-8.04208988616578	1.02972457042144	-7.80994269455412	5.72139933030406e-15	5.1290662231667e-12
IL28RA	137.537199908452	5.93014169979094	0.768236241593662	7.71916420851117	1.17094970348226e-14	9.74750506459508e-12
RAGE	2335.01127263809	-2.48452753985355	0.322062356806535	-7.71443010132978	1.21524013272511e-14	9.74750506459508e-12
BTBD11	1410.00720468149	-3.18208704355631	0.419781873188106	-7.58033456611501	3.44664996060077e-14	2.50128311426456e-11
